A,A
B,B
C,C
,CH
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
,LL
M,M
N,N
,Ñ
O,O
P,P
Q,Q
R,R
,RR
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
